player,nation,pos,age,playing_time_min,squad,attack_profile,hidden_gem,high_potential_youth,elite_performer,overall_impact,Finisher_score,Dribbler_score,Playmaker_score,Volume Shooter_score
Ander Barrenetxea,es ESP,"MF,FW",23,649.0,Real Sociedad,Dribbler,False,True,True,0.1549,0.1913,2.6817,1.7884,0.2033
Pablo Barrios,es ESP,MF,22,652.0,Atlético Madrid,Dribbler,False,True,False,0.097,0.4397,1.5372,0.5437,-0.1233
Jude Bellingham,eng ENG,MF,22,118.0,Real Madrid,Volume Shooter,False,False,False,0.0623,0.0357,-0.2617,0.3132,0.78
Iker Benito,es ESP,"FW,DF",23,98.0,Osasuna,Finisher,False,False,False,0.0615,2.6825,-0.5655,-0.0118,-0.1833
Carmona,es ESP,"DF,MF",23,555.0,Sevilla,Playmaker,False,True,False,0.0886,0.8889,0.1613,1.2175,-0.22
Marc Casado,es ESP,MF,22,212.0,Barcelona,Playmaker,False,False,False,0.0492,-0.2381,0.0053,0.3274,0.0767
Coba da Costa,es ESP,"MF,FW",23,131.0,Getafe,Dribbler,True,True,False,0.0884,0.0913,0.8582,0.844,0.1967
Tyrhys Dolan,eng ENG,"FW,MF",23,566.0,Espanyol,Playmaker,False,True,False,0.0956,-0.1587,0.4773,1.4362,-0.12
Marc Domenech,es ESP,"FW,MF",19,206.0,Mallorca,Playmaker,False,False,False,0.0434,-0.1825,-0.3791,0.3664,-0.0533
Karl Etta Eyong,cm CMR,FW,21,256.0,Villarreal,Finisher,False,False,False,0.0506,0.6563,-0.6905,0.292,0.33
Karl Etta Eyong,cm CMR,FW,21,381.0,Levante,Finisher,False,True,False,0.0872,1.419,-0.3791,0.6844,0.5333
Abde Ezzalzouli,ma MAR,FW,23,254.0,Betis,Finisher,True,True,True,0.1029,1.1143,0.444,1.0012,0.81
Roberto Férnandez,es ESP,"FW,MF",23,535.0,Espanyol,Playmaker,False,False,False,0.0497,-0.0048,-0.703,0.6147,0.24
Gonzalo García,es ESP,"FW,MF",21,93.0,Real Madrid,Playmaker,False,False,False,0.0313,0.2024,-0.1592,0.221,-0.1667
Pablo Garcia,es ESP,FW,19,182.0,Betis,Volume Shooter,False,False,False,0.0558,-0.4325,0.1515,0.0993,0.3333
Jon Gorrotxategi,es ESP,MF,23,516.0,Real Sociedad,Playmaker,False,False,False,0.0216,-0.1825,-0.5342,0.104,-0.3167
Javier Guerra,es ESP,MF,22,473.0,Valencia,Playmaker,False,False,False,0.0588,-0.0675,0.0873,0.2896,-0.1733
Arda Güler,tr TUR,"MF,FW",20,561.0,Real Madrid,Finisher,False,True,False,0.0913,1.1095,0.3163,0.4941,0.76
Haissem Hassan,fr FRA,"FW,MF",23,538.0,Oviedo,Dribbler,False,True,True,0.1277,-0.2738,2.4663,1.1608,0.18
Ali Houary,ma MAR,MF,20,123.0,Elche,Volume Shooter,False,False,False,0.0326,-0.1825,-0.3062,-0.1229,-0.0033
Mikel Jauregizar,es ESP,MF,21,710.0,Athletic Club,Finisher,False,False,False,0.0597,0.5016,-0.2437,0.4787,-0.0267
Mateo Joseph,es ESP,"FW,MF",21,399.0,Mallorca,Playmaker,False,False,False,0.0679,-0.6349,0.1208,0.8144,0.2633
Abu Kamara,eng ENG,"FW,MF",22,113.0,Getafe,Playmaker,False,False,False,0.0178,-0.127,-0.6801,-0.0118,-0.49
Adrián Liso,es ESP,FW,20,425.0,Getafe,Finisher,False,True,False,0.0769,2.3325,-0.238,0.3038,0.0733
Diego López,es ESP,"MF,FW",23,565.0,Valencia,Finisher,False,False,False,0.0598,1.0444,-0.3908,0.3215,-0.0133
Fermin López,es ESP,"MF,FW",22,195.0,Barcelona,Finisher,True,True,True,0.12,2.2849,0.9284,0.8771,0.4333
Pablo Marín,es ESP,MF,22,458.0,Real Sociedad,Dribbler,False,False,False,0.0601,-0.25,0.404,0.0993,-0.0967
Mario Martín,es ESP,MF,21,511.0,Getafe,Dribbler,False,False,False,0.0633,0.5333,0.5444,-0.0118,-0.08
Franco Mastantuono,ar ARG,"FW,DF",18,402.0,Real Madrid,Dribbler,False,True,True,0.1138,-0.2278,1.3625,0.4882,1.2033
Rodrigo Mendoza,es ESP,"MF,FW",20,359.0,Elche,Finisher,False,True,False,0.0759,0.9167,0.7159,0.0213,-0.1567
Alberto Moleiro,es ESP,"MF,FW",22,370.0,Villarreal,Dribbler,False,True,False,0.0766,0.123,0.5689,0.3215,0.32
